16709  2025-03-10T04:30:33 cp tmp_mnt/fs 16.bin
16710  2025-03-10T04:30:36 sudo losetup -d /dev/loop0
16711  2025-03-10T04:30:44 mount -o loop 16.bin tmp_mnt/
16712  2025-03-10T04:31:00 sudo mount -o loop 16.bin tmp_mnt/
16713  2025-03-10T04:31:04 file tmp_mnt/fs
16714  2025-03-10T04:31:11 cp tmp_mnt/fs 17.bin
16715  2025-03-10T04:31:14 sudo umount tmp_mnt
16717  2025-03-10T04:31:23 hexdump -vC 17.bin | less
16718  2025-03-10T04:34:14 hexdump -vC 17.bin | less
16719  2025-03-10T04:34:27 strings -a 17.bin | head
16720  2025-03-10T04:34:35 sudo mount -o loop 17.bin tmp_mnt/
16721  2025-03-10T04:34:44 cp tmp_mnt/fs 18.bin
16722  2025-03-10T04:34:45 file 18.bin
16723  2025-03-10T04:34:54 sudo umount tmp_mnt
16724  2025-03-10T04:35:07 sudo mount -o loop 18.bin tmp_mnt/
16725  2025-03-10T04:35:19 sudo mount -o loop -t ffs 18.bin tmp_mnt/
16726  2025-03-10T04:35:28 sudo losetup -d /dev/loop0
16727  2025-03-10T04:35:38 sudo mount -o loop -t affs 18.bin tmp_mnt/
16728  2025-03-10T04:35:57 xzcat tmp_mnt/fs.xz > 19.bin
16729  2025-03-10T04:36:00 sudo umount tmp_mnt
16730  2025-03-10T04:36:04 file 19.bin
16745  2025-03-10T04:39:31 sudo mount -o loop 19.bin tmp_mnt/
16746  2025-03-10T04:39:40 cp tmp_mnt/flag.heic .


bmenrigh@omicron ~/tmp/matryoshkafs $ sha256sum *
9fdec4cb067a0d3ece66a993f1636dc247f79dce594bfc8d4f09eb1a8a711c53  1.bin
ef86d11bf557ac5e4fd0e933316d4848f670cc142760d5f57757abb9be643727  10.bin
c65f291715049e52d4186172ad366d64d5d07faa35a3a556734f84f1f7ea9c68  11.bin
501b404cbb85861e3af08cbb905395c4772668484432741cf0fd3e7fd59ed7cc  12.bin
6a42c91bd90fe750d50b541800a3a7e8a9fa322cd751bb7d3634510c12dde7e3  13.bin
472600793d2f6a56a54190289e61c32161204b326d0ff83d46663d0bc53e36df  14.bin
3528baafe2a725aa3b0a0b42612c7e7a6e4996863f8f082352f9901526b69f33  15.bin
563c671bcc1420f31dc36228d417e1b1cba5bc2d8b75da5661f7ce8cc9c0c43e  16.bin
d8ce2eea6f3cc665472cf89925449e8e539b6ddb2994ef441e872b8fc7496926  17.bin
076ce5859798239a13dabef0a935124fdf02595f0edac075f8834e59a6e21d98  18.bin
c588a581fe86ea7d5f62390494585ff03c19c530ee042fa594b5e922af48c2c3  19.bin
3ecae9d0e58dd89c6d7793feb71998e6917d7d3ca058d43a9d0031101deada40  2.bin
72723ddb897041bda3a26eb278b8f63e1c36d957d7038b7cf031c9713cc37457  3.bin
5203ecaa7ca8b2195c41766de94253f84f39e5df44066f9a7310b79a00cb8693  4.bin
778b8828de7f7375eb437b65122c0985968dadc4fe20994f7a84a1adb4f4bea6  5.bin
31eaf725fb82c764b3fc8729ddcf8341727347ad22db17e9458ad4184d6ecba1  6.bin
c37c128b416968df79cd5af01e12ac5a022b1ea49ecb5fdde16762246ba1795a  7.bin
186361fdf2354bf35105e2f6cb01d7f6122ca3dab62ca5588491285492975014  8.bin
8eec76858731d7e3519d9840c1632634b6f0b22c2521b034c48de8022a0d8fbf  9.bin
03b403d39fde731c06f3b43a1709dd9d2ee6fb4cd76a6c6ac408059621dd316e  flag.heic
